Anderson & Greenland 1969	http://earthref.org/cgi-bin/err.cgi?n=95
Beattie 1993	http://earthref.org/cgi-bin/err.cgi?n=201
Beattie 1994	http://earthref.org/cgi-bin/err.cgi?n=212
Blundy & Dalton 2000	http://earthref.org/cgi-bin/err.cgi?n=99683
Bougault & Hekinian 1974	http://earthref.org/cgi-bin/err.cgi?n=304
Brenan & Watson 1991	http://earthref.org/cgi-bin/err.cgi?n=307
Brenan et al. 1998	http://earthref.org/cgi-bin/err.cgi?n=308
Brenan et al. 2003	http://earthref.org/cgi-bin/err.cgi?n=99685
Brunet & Chazot 2001	http://earthref.org/cgi-bin/err.cgi?n=99686
Canil 1999	http://earthref.org/cgi-bin/err.cgi?n=412
Colson et al. 1988	http://earthref.org/cgi-bin/err.cgi?n=315
Dale & Henderson 1972	http://earthref.org/cgi-bin/err.cgi?n=318
Dostal et al. 1983	http://earthref.org/cgi-bin/err.cgi?n=324
Drake & Holloway 1981	http://earthref.org/cgi-bin/err.cgi?n=325
Duke 1976	http://earthref.org/cgi-bin/err.cgi?n=331
Dunn & Sen 1994	http://earthref.org/cgi-bin/err.cgi?n=332
Dunn 1987	http://earthref.org/cgi-bin/err.cgi?n=333
Ewart & Griffin 1994	http://earthref.org/cgi-bin/err.cgi?n=337
Foley & Jenner 2004	http://earthref.org/cgi-bin/err.cgi?n=99693
Frey 1969	http://earthref.org/cgi-bin/err.cgi?n=345
Fujimaki et al. 1984	http://earthref.org/cgi-bin/err.cgi?n=346
Gaetani & Grove 1997	http://earthref.org/cgi-bin/err.cgi?n=350
Hart & Brooks 1974	http://earthref.org/cgi-bin/err.cgi?n=105
Hart & Davis 1978	http://earthref.org/cgi-bin/err.cgi?n=106
Hart & Ravizza 1996	http://earthref.org/cgi-bin/err.cgi?n=108
Heber et al. 2007	http://earthref.org/cgi-bin/err.cgi?n=99761
Higuchi & Nagasawa 1969	http://earthref.org/cgi-bin/err.cgi?n=112
Irvine & Kushiro 1976	http://earthref.org/cgi-bin/err.cgi?n=121
Kennedy et al. 1993	http://earthref.org/cgi-bin/err.cgi?n=144
Kinzler et al. 1990	http://earthref.org/cgi-bin/err.cgi?n=146
Kloeck & Palme 1988	http://earthref.org/cgi-bin/err.cgi?n=149
Kohn & Schofield 1994	http://earthref.org/cgi-bin/err.cgi?n=150
Larsen 1979	http://earthref.org/cgi-bin/err.cgi?n=154
Leeman & Lindstrom 1978	http://earthref.org/cgi-bin/err.cgi?n=161
Leeman & Scheidegger 1977	http://earthref.org/cgi-bin/err.cgi?n=163
Lemarchand et al. 1987	http://earthref.org/cgi-bin/err.cgi?n=166
Libourel 1999	http://earthref.org/cgi-bin/err.cgi?n=172
Lindstrom 1983	http://earthref.org/cgi-bin/err.cgi?n=174
Luhr & Carmichael 1980	http://earthref.org/cgi-bin/err.cgi?n=181
Mahood & Hildreth 1983	http://earthref.org/cgi-bin/err.cgi?n=186
Mahood & Stimac 1990	http://earthref.org/cgi-bin/err.cgi?n=187
Matsui et al. 1977	http://earthref.org/cgi-bin/err.cgi?n=190
McKay & Weill 1976	http://earthref.org/cgi-bin/err.cgi?n=197
McKay & Weill 1977	http://earthref.org/cgi-bin/err.cgi?n=198
McKay 1986	http://earthref.org/cgi-bin/err.cgi?n=195
McKay et al. 1986	http://earthref.org/cgi-bin/err.cgi?n=199
McKenzie & O'Nions 1991	http://earthref.org/cgi-bin/err.cgi?n=200
Michael 1988	http://earthref.org/cgi-bin/err.cgi?n=202
Mysen & Virgo 1980	http://earthref.org/cgi-bin/err.cgi?n=207
Mysen 1976	http://earthref.org/cgi-bin/err.cgi?n=204
Mysen 1978	http://earthref.org/cgi-bin/err.cgi?n=205
Mysen 1979	http://earthref.org/cgi-bin/err.cgi?n=206
Nabelek 1980	http://earthref.org/cgi-bin/err.cgi?n=208
Nielsen 1988	http://earthref.org/cgi-bin/err.cgi?n=222
Nielsen et al. 1992	http://earthref.org/cgi-bin/err.cgi?n=223
Nikogosian & Sobolev 1997	http://earthref.org/cgi-bin/err.cgi?n=224
Ohtani et al. 1989	http://earthref.org/cgi-bin/err.cgi?n=226
Paster et al. 1974	http://earthref.org/cgi-bin/err.cgi?n=230
Pedersen 1979	http://earthref.org/cgi-bin/err.cgi?n=231
Philpotts & Schnetzler 1970	http://earthref.org/cgi-bin/err.cgi?n=232
Ringwood 1970	http://earthref.org/cgi-bin/err.cgi?n=238
Schnetzler & Philpotts 1970	http://earthref.org/cgi-bin/err.cgi?n=240
Seifert et al. 1988	http://earthref.org/cgi-bin/err.cgi?n=245
Shimizu et al. 1982	http://earthref.org/cgi-bin/err.cgi?n=251
Takahashi 1978	http://earthref.org/cgi-bin/err.cgi?n=272
Tronnes et al. 1992	http://earthref.org/cgi-bin/err.cgi?n=274
